generator,nonzero_count,positive_frac,mean_nonzero,std_nonzero,cv,median_nonzero,min_nonzero,max_nonzero,replaceable
gen 2165,10,1.0,0.27762,0.015302272888546836,0.05511949026924154,0.27864999999999995,0.2597,0.3,true
gen 2662,8734,1.0,0.09760855278223038,0.017336709843554714,0.17761465926283931,0.0954,0.0561,0.2779,true
gen 2873,8734,1.0,0.048119704602702096,0.009713932657364125,0.2018701639498147,0.0461,0.0336,0.3405,true
gen 3708,8732,1.0,0.0809915597801191,0.016761262299273733,0.20695072850526952,0.0794,0.043,0.1792,true
gen 2210,5912,1.0,0.05449357239512856,0.011463270036547582,0.21036003940847048,0.0551,0.0002,0.077,true
gen 2946,8733,1.0,0.039362544371922596,0.009244365868197296,0.23485183734187992,0.0373,0.0254,0.2963,true
gen 2800,8734,1.0,0.1580993473780628,0.04003584299041084,0.2532321837779202,0.1505,0.0541,0.3099,true
gen 2826,8733,1.0,0.06680901179434329,0.016944142627960766,0.25362061453804385,0.0639,0.0073,0.1208,true
gen 3044,5530,1.0,0.07482349005424957,0.02073640628468531,0.2771376511527424,0.0779,0.0001,0.119,true
gen 3051,8731,1.0,0.04305920284045356,0.01279271587222093,0.29709597550195105,0.0417,0.0182,0.1132,true
gen 2811,8734,1.0,0.04555376688802382,0.0137669961624006,0.3022142207524,0.0431,0.0158,0.0978,true
gen 2391,307,1.0,0.05545179153094463,0.016861564999456853,0.30407610888545106,0.0612,0.0017,0.0835,true
gen 3723,8734,1.0,0.41921778108541335,0.127603972397959,0.3043858780693283,0.3977,0.1879,1.1833,true
gen 2919,7071,1.0,0.04636929712911892,0.015598055696151528,0.33638758104781114,0.0499,0.0001,0.083,true
gen 3463,4263,1.0,0.045567088904527334,0.016518169770304653,0.36250219549714274,0.0483,0.0001,0.0716,true
gen 3050,8699,1.0,0.04909727554891366,0.018250338920398627,0.3717179561667641,0.0491,0.0002,0.2527,true
gen 2985,8734,1.0,0.03596962445614838,0.0135224787571669,0.3759416163394352,0.035,0.0006,0.0885,true
gen 2211,8734,1.0,0.06135988092512023,0.024414610254804063,0.39789207356184625,0.0481,0.0359,0.3653,true
gen 2708,224,1.0,0.11206116071428565,0.046343080718541645,0.4135516750241352,0.13105,0.0006,0.1608,true
gen 2823,8726,1.0,0.309574959889984,0.1307605029256027,0.42238720784159045,0.3073,0.0006,0.725,true
gen 3750,4518,1.0,0.05290885347498893,0.022653042084132675,0.4281522013105277,0.058050000000000004,0.0001,0.0847,true
gen 3067,8734,1.0,0.08846790702999771,0.03837222400661207,0.4337417408733408,0.0784,0.032,0.2625,true
gen 2799,7665,1.0,0.07770033920417481,0.035827279459009806,0.4610955347938149,0.0823,0.0001,0.1794,true
gen 2851,8723,1.0,0.07032956551645075,0.03441551837078441,0.4893463811138474,0.0727,0.0001,0.363,true
gen 2587,8734,1.0,0.13788362720403022,0.06797122628872936,0.4929608225938998,0.128,0.0274,0.4753,true
