generator,bus
gen 2152,5
gen 2154,8
gen 2156,13
gen 2162,20
gen 2165,63
gen 2166,65
gen 2210,327
gen 2211,332
gen 2220,352
gen 2245,399
gen 2247,401
gen 2264,436
gen 2269,450
gen 2287,499
gen 2313,550
gen 2320,580
gen 2322,584
gen 2323,595
gen 2359,708
gen 2377,741
gen 2382,757
gen 2391,793
gen 2395,803
gen 2483,1127
gen 2485,1129
gen 2488,1141
gen 2492,1146
gen 2498,1173
gen 2503,1185
gen 2522,1232
gen 2542,1258
gen 2548,1265
gen 2549,1268
gen 2555,1337
gen 2557,1342
gen 2564,1385
gen 2578,1465
gen 2587,1485
gen 2589,1497
gen 2594,1508
gen 2604,1539
gen 2618,1606
gen 2662,1761
gen 2668,1789
gen 2706,1898
gen 2708,1906
gen 2775,2091
gen 2789,2123
gen 2793,2135
gen 2798,2151
gen 2799,2152
gen 2800,2153
gen 2802,2155
gen 2803,2156
gen 2806,2159
gen 2810,2176
gen 2811,2179
gen 2812,2181
gen 2815,2188
gen 2819,2207
gen 2823,2218
gen 2824,2219
gen 2826,2222
gen 2827,2227
gen 2831,2238
gen 2839,2274
gen 2840,2285
gen 2843,2290
gen 2848,2307
gen 2850,2318
gen 2851,2321
gen 2852,2322
gen 2855,2328
gen 2857,2337
gen 2858,2349
gen 2866,2378
gen 2873,2403
gen 2898,2626
gen 2912,2667
gen 2917,2798
gen 2918,2799
gen 2919,2803
gen 2935,2856
gen 2945,3017
gen 2946,3022
gen 2958,3077
gen 2985,3271
gen 3033,3532
gen 3041,3556
gen 3042,3557
gen 3044,3571
gen 3045,3581
gen 3050,3660
gen 3051,3662
gen 3052,3664
gen 3067,3764
gen 3074,3873
gen 3094,4078
gen 3095,4079
gen 3140,4469
gen 3150,4557
gen 3155,4617
gen 3163,4668
gen 3165,4707
gen 3168,4712
gen 3171,4715
gen 3220,5152
gen 3252,5511
gen 3281,5954
gen 3282,5961
gen 3283,5984
gen 3311,6493
gen 3315,6524
gen 3317,6530
gen 3323,6547
gen 3345,6728
gen 3347,6730
gen 3462,7684
gen 3463,7686
gen 3493,7767
gen 3495,7771
gen 3542,7908
gen 3556,7942
gen 3595,8031
gen 3597,8041
gen 3598,8044
gen 3599,8052
gen 3618,8122
gen 3633,8177
gen 3634,8178
gen 3635,8179
gen 3642,8191
gen 3643,8192
gen 3649,8204
gen 3650,8206
gen 3673,8276
gen 3708,8377
gen 3723,8418
gen 3731,8455
gen 3750,8501
gen 3752,8504
gen 3757,8522
gen 3758,8523
gen 3762,8540
gen 3776,8587
gen 3801,8647
gen 3820,8703
