generator,bus
gen 2150,1
gen 2153,7
gen 2160,18
gen 2168,77
gen 2173,111
gen 2225,358
gen 2321,581
gen 2324,604
gen 2325,637
gen 2331,660
gen 2379,747
gen 2381,751
gen 2400,824
gen 2402,841
gen 2461,1092
gen 2486,1130
gen 2489,1143
gen 2490,1144
gen 2491,1145
gen 2493,1147
gen 2494,1159
gen 2496,1166
gen 2500,1178
gen 2505,1189
gen 2506,1192
gen 2508,1197
gen 2510,1200
gen 2521,1230
gen 2523,1235
gen 2528,1241
gen 2529,1243
gen 2530,1245
gen 2531,1246
gen 2533,1248
gen 2534,1249
gen 2541,1257
gen 2544,1260
gen 2545,1261
gen 2588,1494
gen 2590,1498
gen 2591,1499
gen 2622,1613
gen 2623,1618
gen 2629,1640
gen 2656,1728
gen 2658,1733
gen 2663,1762
gen 2667,1788
gen 2676,1813
gen 2677,1814
gen 2679,1819
gen 2683,1830
gen 2707,1901
gen 2720,1950
gen 2732,2005
gen 2787,2113
gen 2790,2126
gen 2791,2131
gen 2792,2133
gen 2795,2142
gen 2801,2154
gen 2804,2157
gen 2805,2158
gen 2809,2166
gen 2813,2185
gen 2820,2208
gen 2835,2252
gen 2836,2254
gen 2844,2292
gen 2854,2327
gen 2859,2350
gen 2916,2791
gen 2920,2805
gen 2923,2823
gen 2924,2824
gen 2926,2834
gen 2928,2836
gen 2930,2840
gen 2934,2849
gen 2936,2857
gen 2948,3045
gen 2952,3059
gen 2969,3151
gen 2978,3216
gen 2979,3242
gen 2989,3301
gen 2990,3302
gen 2991,3303
gen 2992,3304
gen 2993,3305
gen 2996,3309
gen 2999,3339
gen 3001,3341
gen 3002,3342
gen 3004,3345
gen 3005,3346
gen 3013,3378
gen 3014,3379
gen 3031,3477
gen 3032,3525
gen 3035,3537
gen 3054,3667
gen 3055,3675
gen 3057,3721
gen 3058,3730
gen 3060,3733
gen 3061,3734
gen 3066,3758
gen 3071,3809
gen 3072,3850
gen 3073,3854
gen 3089,4023
gen 3090,4051
gen 3104,4192
gen 3137,4447
gen 3138,4449
gen 3139,4461
gen 3147,4534
gen 3148,4542
gen 3149,4555
gen 3157,4634
gen 3161,4666
gen 3162,4667
gen 3338,6672
gen 3395,7113
gen 3398,7170
gen 3407,7367
gen 3425,7594
gen 3427,7616
gen 3442,7646
gen 3460,7680
gen 3461,7681
gen 3471,7707
gen 3474,7723
gen 3475,7724
gen 3477,7727
gen 3486,7743
gen 3490,7758
gen 3515,7824
gen 3549,7918
gen 3551,7927
gen 3552,7928
gen 3566,7971
gen 3570,7978
gen 3576,7987
gen 3579,7991
gen 3580,7992
gen 3585,8011
gen 3611,8104
gen 3632,8176
gen 3664,8253
gen 3669,8268
gen 3670,8269
gen 3672,8271
gen 3687,8320
gen 3693,8336
gen 3709,8384
gen 3710,8391
gen 3716,8407
gen 3717,8408
gen 3720,8414
gen 3721,8415
gen 3724,8420
gen 3733,8461
gen 3751,8503
gen 3755,8512
gen 3756,8513
gen 3778,8591
gen 3795,8638
gen 3796,8639
gen 3804,8653
gen 3836,8743
gen 3837,8744
gen 3844,8756
gen 3853,8771
gen 3871,8815
gen 3872,8816
gen 3879,8834
