gen_name,energy_mwh,revenue,profit
gen-297,12254.680967999984,197075.36744881875,197075.36744881875
gen-154,7950.737585000002,128073.59107295852,128073.59107295852
gen-273,273.542070564808,4795.953023311534,4795.953023311534
gen-272,208.91207943519186,3662.809588684928,3662.809588684928
gen-155,7950.737585000002,128073.59107295852,128073.59107295852
gen-271,208.91207943519186,3662.809588684928,3662.809588684928
gen-299,12254.680967999984,197075.36744881875,197075.36744881875
gen-295,12254.680967999984,197075.36744881875,197075.36744881875
gen-296,12254.680967999984,197075.36744881875,197075.36744881875
gen-298,12254.680967999984,197075.36744881875,197075.36744881875
gen-274,273.542070564808,4795.953023311534,4795.953023311534
